Plot,Subquadrat,Tree Number,Species Code,Circumference (cm),Conifer or Deciduous,Elevation (m),GPS Latitude,GPS Longitude,Date,,SORT BY elevation_m,
BPFP,,26,SM,61,Deciduous,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,13,SF,64,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,12,NS,65,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,27,SF,65,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,16,SF,74,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,39,SF,90,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,40,SF,90,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,15,SF,93,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,38,SF,100,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,41,SF,130,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,33,SF,140,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,23,SF,150,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,30,SF,160,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,34,SF,160,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,35,SF,170,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,29,SF,180,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,31,SF,180,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,36,SF,180,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,37,SF,230,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,17,SF,260,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,1,SB,,Deciduous,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,2,SF,,Conifer,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,3,SB,,Deciduous,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
BPFP,,4,SB,,Deciduous,1703,46.3446389°,006.9945306°,5/1/2015,,"1,703.00",
